Phylum	Class	Order	Genus	Seine River	Seine River 2	WK20um	WK5um	WK0.2um
Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacterium	0.00%	0.00%	2.78%	0.00%	0.01%
Actinobacteria	Actinomycetia	Corynebacteriales	Rhodococcus	0.00%	0.00%	0.43%	0.00%	0.04%
Actinobacteria	Actinomycetia	Micrococcales	Agreia	0.00%	0.00%	0.21%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Agrococcus	0.00%	0.00%	0.21%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Amnibacterium	0.00%	0.00%	0.85%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Arthrobacter	0.00%	0.07%	1.92%	0.00%	0.48%
Actinobacteria	Actinomycetia	Micrococcales	Brevibacterium	0.00%	0.00%	0.43%	0.00%	0.01%
Actinobacteria	Actinomycetia	Micrococcales	Cellulomonas	0.00%	0.00%	0.43%	0.00%	0.05%
Actinobacteria	Actinomycetia	Micrococcales	Cellulosimicrobium	0.00%	0.00%	0.43%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Clavibacter	0.00%	0.00%	1.28%	0.00%	0.01%
Actinobacteria	Actinomycetia	Micrococcales	Cryobacterium	0.00%	0.00%	1.28%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Curtobacterium	0.00%	0.02%	0.85%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Demequina	0.00%	0.00%	0.21%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Diaminobutyricimonas	0.00%	0.00%	0.21%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Glutamicibacter	0.00%	0.00%	0.21%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Janibacter	0.00%	0.00%	0.21%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Kytococcus	0.00%	0.00%	0.43%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Lapillicoccus	0.00%	0.00%	0.21%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Leifsonia	0.00%	0.00%	1.71%	0.00%	0.01%
Actinobacteria	Actinomycetia	Micrococcales	Lysinimonas	0.00%	0.00%	1.07%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Microbacterium	0.00%	0.00%	41.67%	0.19%	0.02%
Actinobacteria	Actinomycetia	Micrococcales	Micrococcus	0.00%	0.00%	0.64%	0.00%	0.06%
Actinobacteria	Actinomycetia	Micrococcales	Mycetocola	0.00%	0.00%	1.28%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Plantibacter	0.00%	0.00%	0.21%	0.00%	0.00%
Actinobacteria	Actinomycetia	Micrococcales	Salinibacterium	0.00%	0.00%	0.21%	0.00%	0.01%
Actinobacteria	Actinomycetia	Micrococcales	Sanguibacter	0.00%	0.00%	0.00%	0.19%	0.03%
Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioides	0.00%	0.00%	0.64%	0.00%	0.00%
Actinobacteria	Actinomycetia	Propionibacteriales	Tessaracoccus	0.00%	0.00%	0.64%	0.00%	0.00%
Actinobacteria	Actinomycetia	Streptomycetales	Streptomyces	0.00%	0.07%	6.41%	0.00%	0.14%
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroides	1.96%	0.00%	0.00%	0.00%	0.00%
Bacteroidetes	Cytophagia	Cytophagales	Cytophaga	0.00%	0.04%	0.00%	0.19%	0.09%
Bacteroidetes	Cytophagia	Cytophagales	Marivirga	0.98%	0.00%	0.00%	0.00%	0.00%
Bacteroidetes	Flavobacteriia	Flavobacteriales	Cellulophaga	0.00%	0.11%	0.00%	0.00%	0.00%
Bacteroidetes	Flavobacteriia	Flavobacteriales	Chryseobacterium	0.00%	0.04%	0.00%	0.91%	0.06%
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacterium	3.92%	8.62%	1.07%	1.94%	2.55%
